personas,40117096
varones,19523766
mujeres,20593330
fecha,fallecidos,terapia,casos_dx,diagnosticos,internados,casos_fis,casos_fis_ajustada,casos_fa
2020-03-02,0,0,0,5,1,9,9,1
2020-03-03,0,0,1,7,3,7,7,1
2020-03-04,0,1,0,6,1,8,8,1
2020-03-05,0,0,0,7,2,8,8,5
2020-03-06,0,0,6,10,3,17,17,1
2020-03-07,1,0,1,8,5,4,4,6
2020-03-08,0,1,2,26,1,15,15,2
2020-03-09,0,3,6,12,8,24,24,4
2020-03-10,0,0,2,28,4,23,24,8
2020-03-11,0,0,4,30,13,33,34,11
2020-03-12,0,2,10,41,14,43,43,19
2020-03-13,1,1,6,82,17,44,45,31
2020-03-14,0,4,7,49,14,58,59,10
2020-03-15,0,2,11,78,18,63,65,16
2020-03-16,0,1,10,99,13,84,85,26
2020-03-17,0,3,18,120,35,92,96,50
2020-03-18,1,5,29,189,38,79,83,47
2020-03-19,0,3,22,137,25,116,116,38
2020-03-20,0,4,30,213,42,135,135,81
2020-03-21,1,6,62,291,44,148,149,67
2020-03-22,0,7,54,218,51,97,93,78
2020-03-23,0,5,32,258,63,130,129,98
2020-03-24,3,6,106,388,43,106,114,111
2020-03-25,4,10,115,441,49,107,104,111
2020-03-26,4,12,110,482,44,94,103,100
2020-03-27,2,7,81,362,57,95,102,111
2020-03-28,2,11,68,411,48,81,74,84
2020-03-29,3,10,109,622,55,70,85,88
2020-03-30,3,19,84,531,66,96,98,123
2020-03-31,3,12,90,587,50,86,89,90
2020-04-01,7,11,120,929,53,96,99,102
2020-04-02,5,9,142,1287,75,102,102,127
2020-04-03,3,9,102,1255,53,104,107,104
2020-04-04,3,7,103,1092,41,94,96,91
2020-04-05,9,12,71,820,39,63,93,64
2020-04-06,7,5,105,1093,60,98,98,120
2020-04-07,6,10,76,1383,53,90,104,109
2020-04-08,11,6,101,1540,51,106,125,98
2020-04-09,8,4,96,1440,31,120,103,116
2020-04-10,5,7,128,1241,45,121,118,87
2020-04-11,5,8,70,1337,55,144,141,131
2020-04-12,4,3,68,1070,52,123,124,118
2020-04-13,7,9,92,1412,59,116,118,144
2020-04-14,9,5,125,1668,51,119,118,109
2020-04-15,8,5,128,1694,54,128,124,139
2020-04-16,8,3,105,1730,49,143,137,125
2020-04-17,6,7,88,1701,60,137,155,135
2020-04-18,4,6,122,1644,57,138,149,122
2020-04-19,9,6,60,1176,72,131,158,109
2020-04-20,7,11,94,1808,89,208,222,167
2020-04-21,10,2,160,2273,80,164,161,200
2020-04-22,11,10,117,1999,99,165,174,152
2020-04-23,9,8,137,2183,81,162,145,266
2020-04-24,13,11,185,2457,66,172,165,197
2020-04-25,12,6,166,2058,54,163,167,135
2020-04-26,6,4,87,1413,53,157,174,95
2020-04-27,12,12,126,1781,65,162,151,190
2020-04-28,11,5,124,2100,52,155,151,170
2020-04-29,10,3,147,2388,66,165,150,166
2020-04-30,9,5,135,2179,69,201,174,190
2020-05-01,20,2,140,1971,53,220,234,133
2020-05-02,10,14,102,1498,59,176,206,149
2020-05-03,9,3,103,1324,36,216,261,106
2020-05-04,7,11,119,1876,65,225,265,168
2020-05-05,6,11,182,2345,91,258,292,209
2020-05-06,9,7,198,2163,84,274,311,264
2020-05-07,10,10,236,2274,102,283,279,305
2020-05-08,8,8,202,2073,126,325,336,273
2020-05-09,9,9,250,1944,97,310,308,244
2020-05-10,10,9,198,1426,75,422,430,262
2020-05-11,14,12,263,2359,134,388,410,320
2020-05-12,5,14,288,2440,130,408,408,367
2020-05-13,12,10,324,2732,149,431,450,342
2020-05-14,10,12,304,2534,113,470,511,426
2020-05-15,15,10,394,2803,124,557,590,415
2020-05-16,10,14,339,2443,144,540,637,372
2020-05-17,12,14,242,1806,147,564,689,434
2020-05-18,16,24,389,2775,191,787,820,588
2020-05-19,11,22,527,3781,185,625,695,564
2020-05-20,15,24,612,3659,224,829,790,686
2020-05-21,17,31,746,3901,235,718,612,777
2020-05-22,15,21,810,3980,189,757,726,801
2020-05-23,12,17,612,2979,175,762,766,726
2020-05-24,15,20,503,2428,169,672,729,596
2020-05-25,15,16,548,2942,224,818,971,617
2020-05-26,14,22,649,3392,178,841,875,747
2020-05-27,16,24,713,3967,236,803,758,834
2020-05-28,19,32,765,4142,250,810,868,876
2020-05-29,24,30,838,4484,197,887,956,965
2020-05-30,19,29,692,3505,221,795,905,795
2020-05-31,16,27,541,2537,181,685,859,600
2020-06-01,25,21,842,3567,219,1213,1315,943
2020-06-02,20,33,922,3999,227,1070,1015,1005
2020-06-03,33,27,932,4530,255,1094,1010,995
2020-06-04,30,30,879,4158,228,1184,1241,1041
2020-06-05,28,29,967,4525,245,1292,1318,1139
2020-06-06,38,39,1099,4240,253,1277,1503,975
2020-06-07,30,22,573,2414,237,1170,1339,829
2020-06-08,41,37,1030,4282,300,1570,1747,1351
2020-06-09,21,26,1361,4851,343,1485,1439,1375
2020-06-10,34,28,1344,5148,331,1793,1551,1598
2020-06-11,30,32,1537,5490,333,1490,1420,1603
2020-06-12,35,33,1628,6130,317,1933,1856,1850
2020-06-13,25,29,1494,5575,297,1617,1813,1332
2020-06-14,49,30,1047,3689,304,1590,1887,1181
2020-06-15,39,28,1286,4132,280,1932,2235,1380
2020-06-16,42,42,1655,5293,359,2291,2394,1938
2020-06-17,52,44,1922,6497,394,2179,2078,2011
2020-06-18,45,41,2053,6928,399,2377,2533,2220
2020-06-19,45,49,2091,7068,434,2412,2586,2148
2020-06-20,36,38,2403,7052,431,2764,3002,2225
2020-06-21,55,42,1460,4405,372,2133,2553,1694
2020-06-22,51,54,2229,6565,445,2837,2996,2636
2020-06-23,57,56,2624,7972,510,2702,2574,2759
2020-06-24,48,44,2517,7781,415,2594,2237,2981
2020-06-25,56,43,2950,8460,409,2563,2504,2904
2020-06-26,65,35,3020,8749,461,2839,2796,2913
2020-06-27,70,37,2332,7267,382,2463,2614,2279
2020-06-28,61,41,1795,4699,309,2269,2766,1884
2020-06-29,49,53,2269,7138,448,2923,3259,2855
2020-06-30,68,55,2814,7791,407,2799,2689,2940
2020-07-01,80,52,2801,7843,443,3472,3343,2884
2020-07-02,75,54,2868,7819,429,3059,3299,3004
2020-07-03,73,51,3376,8697,444,3542,3791,3198
2020-07-04,82,47,3307,8508,499,2947,3516,2388
2020-07-05,92,51,1961,5184,422,2860,3315,2333
2020-07-06,65,53,2940,7526,521,3767,3670,3820
2020-07-07,89,63,3432,8837,552,3951,3618,4051
2020-07-08,111,58,4129,10394,456,3623,3151,3895
2020-07-09,86,49,3614,9574,471,3508,3760,3220
2020-07-10,117,69,3575,8721,502,4232,4733,3364
2020-07-11,106,74,3320,8301,455,3538,3996,3147
2020-07-12,87,50,2148,5597,448,3590,4398,2578
2020-07-13,105,64,3568,8712,520,4582,4766,4324
2020-07-14,127,68,4179,10657,534,4673,4369,4697
2020-07-15,130,65,4204,10900,539,4978,4647,4514
2020-07-16,119,52,4552,10841,543,4655,4887,4850
2020-07-17,116,67,4998,12064,567,5082,5491,4891
2020-07-18,126,76,4582,10473,543,4964,5748,3538
2020-07-19,129,74,3064,7266,427,4494,5273,3757
2020-07-20,130,83,4797,10979,660,6802,7055,5662
2020-07-21,141,68,5694,12632,577,5529,5122,6027
2020-07-22,138,81,5889,13643,539,5437,4609,6380
2020-07-23,113,68,5936,13447,576,5337,5672,5866
2020-07-24,130,65,6296,14205,453,5759,5892,6039
2020-07-25,120,56,4878,11639,407,5431,6007,4462
2020-07-26,132,72,3584,7964,441,4909,5826,3686
2020-07-27,166,74,5299,12093,501,6973,7091,6137
2020-07-28,146,77,6070,14731,523,6302,5610,6350
2020-07-29,157,60,6413,14996,516,5975,5179,6447
2020-07-30,154,69,6163,14474,507,6211,6276,6254
2020-07-31,150,61,7062,15774,483,6874,7218,6371
2020-08-01,128,82,5251,12075,443,7561,8476,4434
2020-08-02,185,73,4543,10427,492,6181,7697,4507
2020-08-03,167,68,6326,13729,634,7910,8104,7453
2020-08-04,154,90,7386,16626,647,7555,6476,8884
2020-08-05,176,91,8026,17593,639,6921,6068,7922
2020-08-06,195,97,7952,17807,552,7227,6525,8570
2020-08-07,172,73,8135,18144,541,7023,7028,7423
2020-08-08,168,61,6424,15339,511,6091,6831,4709
2020-08-09,174,69,4511,10071,461,5578,6356,4803
2020-08-10,175,86,7010,16406,574,7670,8195,7489
2020-08-11,142,68,7551,19566,516,6356,5913,7623
2020-08-12,175,84,7605,19365,554,6465,5603,7325
2020-08-13,172,84,7555,18872,525,6431,5685,7037
2020-08-14,186,78,7342,19383,559,7194,6914,7370
2020-08-15,175,85,6789,16628,460,6631,7451,5341
2020-08-16,168,67,3747,10078,413,6083,7363,4375
2020-08-17,200,82,5544,12905,501,6913,8122,5159
2020-08-18,202,79,6889,16122,589,8072,7932,7933
2020-08-19,170,86,8344,18474,532,7782,6661,8646
2020-08-20,164,71,8758,19312,530,9280,9657,8162
2020-08-21,168,85,8450,19272,553,8243,8748,8300
2020-08-22,180,74,7578,16122,474,7916,9691,6385
2020-08-23,153,70,4739,10579,487,7523,9807,4609
2020-08-24,227,72,8668,18006,714,10427,11124,9929
2020-08-25,190,106,9679,19918,731,10151,9754,9980
2020-08-26,176,105,10593,21727,699,10168,8431,11051
2020-08-27,196,102,11407,22375,706,9913,10060,10984
2020-08-28,189,105,10881,21781,666,10531,10528,10691
2020-08-29,215,72,9009,17708,535,8150,9781,7910
2020-08-30,195,77,6783,13810,466,7879,10179,5923
2020-08-31,221,78,9905,18683,654,10527,10977,11126
2020-09-01,208,95,11256,21700,607,10766,10443,11042
2020-09-02,197,74,11376,21679,622,10382,8496,10750
2020-09-03,228,86,11259,22377,616,10358,10226,10873
2020-09-04,200,97,10836,22316,592,10532,11126,11056
2020-09-05,174,81,9248,19615,549,9508,11139,8210
2020-09-06,189,80,6228,12700,452,8186,10855,6096
2020-09-07,210,90,10082,20367,661,11331,12084,11405
2020-09-08,174,81,12229,23625,645,11024,9583,12372
2020-09-09,207,90,12297,25047,600,10660,8664,11864
2020-09-10,181,74,11744,24429,534,11154,10949,12144
2020-09-11,190,86,12449,25666,544,10323,9900,11857
2020-09-12,150,48,10252,19428,393,8629,10061,8035
2020-09-13,185,56,7103,13389,386,7895,9901,6555
2020-09-14,190,64,10418,21348,439,10519,10559,11363
2020-09-15,173,54,11067,22706,316,9505,8519,11074
2020-09-16,147,61,11588,23926,377,9151,7069,11383
2020-09-17,176,53,11927,24087,369,8796,7819,10966
2020-09-18,146,47,12237,24596,337,8894,9254,10857
2020-09-19,148,43,9527,18329,257,6986,9240,7469
2020-09-20,130,38,5700,11034,225,5871,7993,5513
2020-09-21,138,38,9959,18593,278,6268,5339,9737
2020-09-22,135,36,11018,21368,267,6910,1343,11122
2020-09-23,127,25,11710,21597,167,6710,635,10893
2020-09-24,82,4,9727,18181,79,5355,155,8533
2020-09-25,33,6,3553,7182,5,3320,17,4432
